method.name	dataset.name	sample.id	Pearson	Spearman	RMSE
Rubbernecks	AE	ISFB2B1	-0.13460543421211	0.104395604395604	0.190116670733109
Rubbernecks	AE	ISFB2B2	-0.142988438463479	-0.142857142857143	0.160626127068844
Rubbernecks	AE	ISFB2B3	0.0626491168636591	0.0659340659340659	0.0879570609872002
Rubbernecks	AE	ISFB2B4	-0.130514159021595	0.340659340659341	0.186998908384644
Rubbernecks	AE	ISFB3A1	-0.158738484310754	-0.0659340659340659	0.167088382180227
Rubbernecks	AE	ISFB3A2	-0.158851623085065	-0.252747252747253	0.192349785602608
Rubbernecks	AE	ISFB3A3	0.0204089175903615	0.208791208791209	0.164242350497167
Rubbernecks	AE	ISFB3A4	0.774366865910522	0.67032967032967	0.125695365638401
Rubbernecks	AE	ISFB3B1	0.311756322641571	0.21978021978022	0.171118804183737
Rubbernecks	AE	ISFB3B2	-0.027800074451766	-0.0714285714285714	0.142310125306443
Rubbernecks	AE	ISFB3B3	0.567378312228052	0.0494505494505495	0.147088646854593
Rubbernecks	AE	ISFB3B4	-0.241414123064013	-0.0989010989010989	0.170353026419376
Rubbernecks	AE	ISFB4A1	-0.140626893265608	-0.148351648351648	0.121041465082181
